uid,title,genre,aired,episodes,ranked,score,link
39668,Watanuki-san Chi no,['Slice of Life'],"Apr 19, 2019 to Jul 6, 2019",12,14433,5.71,https://myanimelist.net/anime/39668/Watanuki-san_Chi_no
38821,Wedding Park,['Romance'],"Dec 10, 2018 to ?",,14444,5.35,https://myanimelist.net/anime/38821/Wedding_Park
31697,Witch Village Story Specials,['Slice of Life'],Not available,2,14449,5.58,https://myanimelist.net/anime/31697/Witch_Village_Story_Specials
30767,Wonder 3 Pilot,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1965,1,14454,5.84,https://myanimelist.net/anime/30767/Wonder_3_Pilot
12807,Wonder-kun no Hatsu Yume Uchuu Ryokou,['Adventure'],2-Jan-69,1,14456,5.2,https://myanimelist.net/anime/12807/Wonder-kun_no_Hatsu_Yume_Uchuu_Ryokou
37020,Woo to Wah,['Comedy'],"Oct 2, 2017 to ?",,14458,5.27,https://myanimelist.net/anime/37020/Woo_to_Wah
5844,Pokemon: Pikachu no Obake Carnival,"['Adventure', 'Comedy', 'Fantasy', 'Kids']",1-Aug-05,1,6571,6.4,https://myanimelist.net/anime/5844/Pokemon__Pikachu_no_Obake_Carnival
31168,Pokemon XY: Odemashi Ko Majin Hoopa,"['Action', 'Fantasy', 'Kids']",19-Jun-15,1,6570,6.4,https://myanimelist.net/anime/31168/Pokemon_XY__Odemashi_Ko_Majin_Hoopa
40092,Xiao Hua Xian Di San Ji: Shou Hu Tian Shi,[],"Apr 7, 2017 to Aug 18, 2017",40,14475,5.17,https://myanimelist.net/anime/40092/Xiao_Hua_Xian_Di_San_Ji__Shou_Hu_Tian_Shi
32820,Xiong Chumo Zhi: Chunri Dui Dui Peng,"['Adventure', 'Comedy', 'Kids']","Nov 27, 2014 to Jan 15, 2015",52,14483,4.47,https://myanimelist.net/anime/32820/Xiong_Chumo_Zhi__Chunri_Dui_Dui_Peng
29419,Pokemon XY: New Year's Eve 2014 Super Mega Special,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",31-Dec-14,1,6569,6.4,https://myanimelist.net/anime/29419/Pokemon_XY__New_Years_Eve_2014_Super_Mega_Special
3758,Panda no Daibouken,"['Adventure', 'Kids']",17-Mar-73,1,6567,6.4,https://myanimelist.net/anime/3758/Panda_no_Daibouken
215,Pia Carrot e Youkoso!! 2 DX,"['Comedy', 'Romance']","Dec 18, 1999 to Oct 25, 2000",6,6568,6.4,https://myanimelist.net/anime/215/Pia_Carrot_e_Youkoso_2_DX
470,Okusama wa Joshikousei (TV),"['Slice of Life', 'Comedy', 'Romance', 'Drama']","Jul 2, 2005 to Sep 24, 2005",13,6564,6.4,https://myanimelist.net/anime/470/Okusama_wa_Joshikousei_TV
40807,Ore wo Suki nano wa Omae dake ka yo: Ore wa Teinei ni Susumeru,"['Comedy', 'Romance', 'School']",5-Dec-19,1,6565,6.4,https://myanimelist.net/anime/40807/Ore_wo_Suki_nano_wa_Omae_dake_ka_yo__Ore_wa_Teinei_ni_Susumeru
4112,Oyako Nezumi no Fushigi na Tabi,['Adventure'],11-Mar-78,1,6566,6.4,https://myanimelist.net/anime/4112/Oyako_Nezumi_no_Fushigi_na_Tabi
9731,Nurarihyon no Mago Recaps,"['Action', 'Supernatural', 'Demons', 'Shounen']","Sep 28, 2010 to Dec 28, 2010",2,6563,6.4,https://myanimelist.net/anime/9731/Nurarihyon_no_Mago_Recaps
15815,"Yakeato no, Okashi no Ki","['Drama', 'Kids']",15-Aug-06,1,14502,6.58,https://myanimelist.net/anime/15815/Yakeato_no_Okashi_no_Ki
33164,Musaigen no Phantom World: Limitless Phantom World,"['Comedy', 'Supernatural', 'Fantasy']","Apr 6, 2016 to Oct 5, 2016",7,6562,6.4,https://myanimelist.net/anime/33164/Musaigen_no_Phantom_World__Limitless_Phantom_World
40642,Yakusoku (2011),"['Drama', 'Supernatural']",2011,1,14504,4.47,https://myanimelist.net/anime/40642/Yakusoku_2011
30291,Mini Hama: Minimum Hamatora,"['Comedy', 'Mystery', 'School', 'Shounen', 'Super Power']","Nov 1, 2015 to Dec 21, 2015",8,6561,6.4,https://myanimelist.net/anime/30291/Mini_Hama__Minimum_Hamatora
3884,Maze☆Bakunetsu Jikuu: Hot Springs,"['Action', 'Comedy', 'Ecchi', 'Fantasy']",23-Oct-04,1,6559,6.4,https://myanimelist.net/anime/3884/Maze%E2%98%86Bakunetsu_Jikuu__Hot_Springs
